ORIGIN,DEST,PASSENGERS,FARE,DISTANCE,COUPONS,YEAR,QUARTER
ATL,AUS,9729,185.02674312402897,1580,1,2024,3
ATL,BNA,107825,164.46280701595268,1016,2,2024,3
ATL,BOI,4684,364.96440966698907,2032,2,2024,3
ATL,BOS,1895,251.23029471916578,1470,2,2024,3
ATL,BUR,819,414.5600930342944,2341,2,2024,3
ATL,CLE,8208,232.8290443125352,922,2,2024,3
ATL,CLT,1246,280.17630249360667,1205,1,2024,3
ATL,CMH,2488,143.42134653571696,902,2,2024,3
ATL,CVG,5674,173.50243943853388,870,2,2024,3
ATL,DCA,28661,150.52836316060362,1203,1,2024,3
ATL,DEN,5957,222.68220039331686,1494,2,2024,3
ATL,DFW,13034,280.4362043563421,1408,1,2024,3
ATL,DTW,5874,183.1603328300841,841,2,2024,3
ATL,EWR,6783,173.3243209966194,1325,1,2024,3
ATL,FLL,6261,186.68570365813065,1793,2,2024,3
ATL,IAD,1381,220.2800918907982,1195,2,2024,3
ATL,IAH,675,296.7644220906769,1531,2,2024,3
ATL,IND,10801,138.36287080862982,784,1,2024,3
ATL,JAX,17113,286.70895898840985,1532,2,2024,3
ATL,LAS,7493,235.89167946149706,2120,2,2024,3
ATL,LAX,1062,491.0090123555058,2351,2,2024,3
ATL,MCI,1186,241.84505972776043,1009,2,2024,3
ATL,MCO,4113,282.62180256582855,1611,2,2024,3
ATL,MKE,35699,113.3943850431784,687,1,2024,3
ATL,MSP,809,236.44532602612355,940,1,2024,3
ATL,MSY,8318,318.8536019314316,1439,2,2024,3
ATL,OAK,8204,505.45869514156067,2447,1,2024,3
ATL,OMA,3616,161.5149253815146,1022,2,2024,3
ATL,ONT,2064,273.9077778909609,2315,2,2024,3
ATL,PDX,14576,480.17335372550616,2345,2,2024,3
ATL,PHX,1071,352.2615485073109,2046,1,2024,3
ATL,PIT,5080,139.61059511957058,1016,2,2024,3
ATL,RDU,6899,251.3716050481073,1249,1,2024,3
ATL,RNO,9355,301.68988549968867,2129,2,2024,3
ATL,RSW,8735,360.5114138962409,1739,1,2024,3
ATL,SAN,8719,365.4176748613614,2329,2,2024,3
ATL,SAT,9498,312.5674508074949,1648,1,2024,3
ATL,SEA,22157,464.8882869920124,2327,2,2024,3
ATL,SFO,1265,400.22172458921835,2452,2,2024,3
ATL,SJC,2828,367.0021134439423,2435,2,2024,3
ATL,SLC,11293,197.4714945067079,1855,2,2024,3
ATL,SMF,359,458.8682219485483,2399,2,2024,3
ATL,STL,4442,202.24208739215564,864,2,2024,3
ATL,TPA,801,292.43615337509505,1617,2,2024,3
ATL,TUS,4319,324.7580219783313,1973,2,2024,3
AUS,BNA,1518,276.77105231263414,1384,1,2024,3
AUS,BOI,193,451.61834706545744,2400,2,2024,3
AUS,BOS,5336,284.4064860688935,1838,2,2024,3
AUS,BUR,8604,385.2680563127235,2709,2,2024,3
AUS,CLE,14782,168.99064507123072,1290,2,2024,3
AUS,CLT,56997,293.2349805321004,1573,2,2024,3
AUS,CMH,7406,296.2917862449844,1270,1,2024,3
AUS,CVG,97325,205.64463071652955,1238,2,2024,3
AUS,DCA,18982,234.8892826495191,1571,1,2024,3
AUS,DEN,7850,295.13447346051055,1862,2,2024,3
AUS,DFW,12894,287.66717524859274,1776,2,2024,3
AUS,DTW,2762,198.74824286899167,1209,2,2024,3
AUS,EWR,620,305.83624692292216,1693,2,2024,3
AUS,FLL,35048,341.0280860031942,2161,1,2024,3
AUS,IAD,468,291.47540730191724,1563,2,2024,3
AUS,IAH,5438,200.40957037864467,1899,2,2024,3
AUS,IND,1639,273.3591525166672,1152,2,2024,3
AUS,JAX,43547,296.5154428453133,1900,2,2024,3
AUS,LAS,630,506.51757899771644,2488,2,2024,3
AUS,LAX,6149,284.8254917140919,2719,2,2024,3
AUS,MCI,1585,296.1487695464523,1377,2,2024,3
AUS,MCO,1666,228.412019715739,1979,2,2024,3
AUS,MKE,14428,212.47704539306199,1055,1,2024,3
AUS,MSP,13655,191.56790011148607,1308,2,2024,3
AUS,MSY,10373,347.02323226227736,1807,1,2024,3
AUS,OAK,3909,386.87489093635304,2815,1,2024,3
AUS,OMA,4810,210.8689660214834,1390,1,2024,3
AUS,ONT,2910,483.80720190058025,2683,1,2024,3
AUS,PDX,20967,293.87536014401826,2713,1,2024,3
AUS,PHX,28589,324.74755878246253,2414,1,2024,3
AUS,PIT,4163,218.53495899270234,1384,2,2024,3
AUS,RDU,6560,356.41693451091294,1617,2,2024,3
AUS,RNO,3318,421.48045029043885,2497,2,2024,3
AUS,RSW,892,374.92039139069624,2107,1,2024,3
AUS,SAN,652,498.1604751181808,2697,1,2024,3
AUS,SAT,3960,217.78604257924698,2016,2,2024,3
AUS,SEA,1050,393.27399137025515,2695,1,2024,3
AUS,SFO,1169,316.3103754474571,2820,1,2024,3
AUS,SJC,2491,461.53578475429657,2803,2,2024,3
AUS,SLC,5825,240.17072791673752,2223,1,2024,3
AUS,SMF,1885,483.27822437029425,2767,2,2024,3
AUS,STL,459,267.1314131089794,1232,1,2024,3
AUS,TPA,488,429.0724052750011,1985,1,2024,3
AUS,TUS,1373,437.38276593496596,2341,2,2024,3
BNA,BOI,2928,280.9645548317141,1836,1,2024,3
BNA,BOS,3920,143.85874196033117,1274,2,2024,3
BNA,BUR,896,229.02610155567743,2145,2,2024,3
BNA,CLE,6546,177.82213907589986,726,2,2024,3
BNA,CLT,1166,251.44278367441967,1009,2,2024,3
BNA,CMH,11359,118.40226509227253,706,1,2024,3
BNA,CVG,2210,92.88862211792252,674,1,2024,3
BNA,DCA,5646,129.6739240955164,1007,2,2024,3
BNA,DEN,4111,303.5869517831886,1298,2,2024,3
BNA,DFW,35571,207.8764045585709,1212,2,2024,3
BNA,DTW,17008,148.73331467120238,645,1,2024,3
BNA,EWR,107719,170.99492945547237,1129,2,2024,3
BNA,FLL,1200,258.78646605575784,1597,2,2024,3
BNA,IAD,1291,251.3401519410627,999,1,2024,3
BNA,IAH,5055,264.54287382956034,1335,2,2024,3
BNA,IND,16784,150.43295213047656,588,2,2024,3
BNA,JAX,1698,300.4929643541959,1336,1,2024,3
BNA,LAS,556,406.2038211235802,1924,1,2024,3
BNA,LAX,62929,227.183585275816,2155,2,2024,3
BNA,MCI,23664,219.83797251337057,813,2,2024,3
BNA,MCO,1995,258.3319449875194,1415,2,2024,3
BNA,MKE,3397,112.38971215569478,491,2,2024,3
BNA,MSP,25830,103.7775833388329,744,1,2024,3
BNA,MSY,4066,261.9332268858804,1243,1,2024,3
BNA,OAK,4328,441.6752981629224,2251,2,2024,3
BNA,OMA,813,218.19847134785655,826,2,2024,3
BNA,ONT,3258,268.65314628687486,2119,2,2024,3
BNA,PDX,403,243.48568918913742,2149,2,2024,3
BNA,PHX,27421,303.6189557166654,1850,1,2024,3
BNA,PIT,23659,169.40237989930688,820,2,2024,3
BNA,RDU,4464,247.13730349186062,1053,2,2024,3
BNA,RNO,10621,356.18986513060565,1933,2,2024,3
BNA,RSW,31430,190.2672929591878,1543,2,2024,3
BNA,SAN,19736,310.1807904309713,2133,2,2024,3
BNA,SAT,288,319.1668365226225,1452,2,2024,3
BNA,SEA,38411,310.988847529007,2131,2,2024,3
BNA,SFO,4508,445.7658309354049,2256,1,2024,3
BNA,SJC,313,340.12990623840733,2239,1,2024,3
BNA,SLC,3711,272.5170518813951,1659,2,2024,3
BNA,SMF,570,239.13071665939165,2203,2,2024,3
BNA,STL,11015,104.44515711899491,668,2,2024,3
BNA,TPA,6991,186.45055696935952,1421,2,2024,3
BNA,TUS,985,373.12446481892687,1777,2,2024,3
BOI,BOS,919,277.324378647245,2290,2,2024,3
BOI,BUR,8592,358.5457610225133,3161,2,2024,3
BOI,CLE,3435,224.08694913266916,1742,2,2024,3
BOI,CLT,853,323.10100828837847,2025,2,2024,3
BOI,CMH,1412,359.0041744726106,1722,1,2024,3
BOI,CVG,5561,189.31240660104763,1690,2,2024,3
BOI,DCA,10135,248.1482989014184,2023,2,2024,3
BOI,DEN,12567,326.49303891414405,2314,2,2024,3
BOI,DFW,415,339.5840140096127,2228,1,2024,3
BOI,DTW,31347,181.8406849157471,1661,2,2024,3
BOI,EWR,9579,341.01171656508455,2145,2,2024,3
BOI,FLL,6434,285.66276515415115,2613,2,2024,3
BOI,IAD,362,267.11213983282346,2015,2,2024,3
BOI,IAH,5474,237.8168369647508,2351,2,2024,3
BOI,IND,1529,192.9679373788256,1604,1,2024,3
BOI,JAX,796,390.34012541503773,2352,2,2024,3
BOI,LAS,3986,309.9691936332914,2940,2,2024,3
BOI,LAX,37141,503.48147050427906,3171,1,2024,3
BOI,MCI,851,249.81354487571224,1829,2,2024,3
BOI,MCO,3032,415.7822717662678,2431,2,2024,3
BOI,MKE,495,180.3843727837552,1507,2,2024,3
BOI,MSP,9386,234.23532692322678,1760,2,2024,3
BOI,MSY,1659,269.2894351817919,2259,1,2024,3
BOI,OAK,1103,337.8012199458178,3267,2,2024,3
BOI,OMA,6052,214.02161923490308,1842,2,2024,3
BOI,ONT,3741,628.8906389295697,3135,1,2024,3
BOI,PDX,1698,359.61798804820023,3165,2,2024,3
BOI,PHX,12527,568.6238317097108,2866,2,2024,3
BOI,PIT,329,355.63146376035553,1836,2,2024,3
BOI,RDU,9114,286.03363410772624,2069,2,2024,3
BOI,RNO,351,319.8202374205356,2949,2,2024,3
BOI,RSW,4336,332.4073583608244,2559,2,2024,3
BOI,SAN,3653,481.82349312013804,3149,2,2024,3
BOI,SAT,655,335.527149551686,2468,2,2024,3
BOI,SEA,18251,386.46362368254074,3147,2,2024,3
BOI,SFO,1698,579.0538079212566,3272,2,2024,3
BOI,SJC,98,431.38908659107494,3255,1,2024,3
BOI,SLC,1220,506.227840231398,2675,1,2024,3
BOI,SMF,7039,632.8993396015059,3219,2,2024,3
BOI,STL,1630,189.8659032622538,1684,1,2024,3
BOI,TPA,23254,277.99892212152525,2437,1,2024,3
BOI,TUS,5908,331.73902287167135,2793,2,2024,3
BOS,BUR,7290,445.8932561804327,2599,2,2024,3
BOS,CLE,2145,189.12153660645046,1180,1,2024,3
BOS,CLT,24450,237.13301598167877,1463,2,2024,3
BOS,CMH,2187,202.47121235895165,1160,2,2024,3
BOS,CVG,4147,164.18635613793123,1128,1,2024,3
BOS,DCA,49873,226.9226959998496,1461,2,2024,3
BOS,DEN,5744,206.50523689115573,1752,1,2024,3
BOS,DFW,12821,300.44543729888693,1666,2,2024,3
BOS,DTW,6703,217.5390662786224,1099,2,2024,3
BOS,EWR,2163,339.5707713831262,1583,1,2024,3
BOS,FLL,2025,266.1500832654877,2051,1,2024,3
BOS,IAD,1127,163.07066964585553,1453,2,2024,3
BOS,IAH,8275,257.70975780010104,1789,1,2024,3
BOS,IND,6654,138.01998338931156,1042,1,2024,3
BOS,JAX,2691,354.2590502867406,1790,2,2024,3
BOS,LAS,929,296.2573983241749,2378,1,2024,3
BOS,LAX,14868,455.72304097369164,2609,2,2024,3
BOS,MCI,30823,182.12678548924856,1267,2,2024,3
BOS,MCO,279,293.37116145881015,1869,1,2024,3
BOS,MKE,38049,134.42609541533398,945,2,2024,3
BOS,MSP,158136,138.43922337370083,1198,1,2024,3
BOS,MSY,4897,366.68598493531476,1697,2,2024,3
BOS,OAK,8300,474.1652739310393,2705,2,2024,3
BOS,OMA,5644,236.38584810397052,1280,2,2024,3
BOS,ONT,44018,519.3028081748255,2573,1,2024,3
BOS,PDX,1873,384.3449236976011,2603,2,2024,3
BOS,PHX,4385,382.96768340960364,2304,2,2024,3
BOS,PIT,20824,150.90403302737096,1274,2,2024,3
BOS,RDU,883,260.8299207857521,1507,1,2024,3
BOS,RNO,337,328.72771707558724,2387,2,2024,3
BOS,RSW,2437,254.79163273306906,1997,2,2024,3
BOS,SAN,49321,292.92440354055606,2587,2,2024,3
BOS,SAT,70,399.0926796365607,1906,2,2024,3
BOS,SEA,3718,419.44233901612097,2585,2,2024,3
BOS,SFO,2695,288.25855637048573,2710,1,2024,3
BOS,SJC,767,411.13127204416514,2693,2,2024,3
BOS,SLC,4119,263.4671534720768,2113,1,2024,3
BOS,SMF,3890,318.7189639963068,2657,2,2024,3
BOS,STL,3840,212.6818134764876,1122,2,2024,3
BOS,TPA,1785,363.11607567290235,1875,2,2024,3
BOS,TUS,75,324.2683517610468,2231,2,2024,3
BUR,CLE,20740,244.05979330000207,2051,2,2024,3
BUR,CLT,488,401.11309538586744,2334,2,2024,3
BUR,CMH,1256,211.5691843076452,2031,2,2024,3
BUR,CVG,16417,209.19966904552783,1999,2,2024,3
BUR,DCA,27171,291.8621687252875,2332,2,2024,3
BUR,DEN,1836,445.80853624003976,2623,2,2024,3
BUR,DFW,8405,276.3048057996978,2537,2,2024,3
BUR,DTW,11719,390.6999753695891,1970,2,2024,3
BUR,EWR,7855,425.2495742766849,2454,2,2024,3
BUR,FLL,9820,284.615272508273,2922,2,2024,3
BUR,IAD,2535,284.91170527394036,2324,2,2024,3
BUR,IAH,6579,382.91195526300015,2660,1,2024,3
BUR,IND,617,378.5116176956788,1913,2,2024,3
BUR,JAX,1402,432.930182535655,2661,2,2024,3
BUR,LAS,487,527.5564972677416,3249,2,2024,3
BUR,LAX,177,437.4737513294405,3480,1,2024,3
BUR,MCI,51393,401.8647938060931,2138,2,2024,3
BUR,MCO,3812,536.2451068379854,2740,1,2024,3
BUR,MKE,21110,278.6825616939176,1816,2,2024,3
BUR,MSP,6401,359.9591067277945,2069,2,2024,3
BUR,MSY,310,290.6414171919381,2568,1,2024,3
BUR,OAK,4147,401.18798354851134,3576,2,2024,3
BUR,OMA,6795,220.21722820624436,2151,1,2024,3
BUR,ONT,5411,425.867442111975,3444,2,2024,3
BUR,PDX,929,570.1241207309746,3474,1,2024,3
BUR,PHX,5923,508.75821347752367,3175,2,2024,3
BUR,PIT,17617,258.3073048390787,2145,1,2024,3
BUR,RDU,255,373.9713933149219,2378,2,2024,3
BUR,RNO,591,367.3314514293446,3258,1,2024,3
BUR,RSW,5338,353.27744405759154,2868,2,2024,3
BUR,SAN,1299,432.85683187912366,3458,2,2024,3
BUR,SAT,933,441.92313147790634,2777,2,2024,3
BUR,SEA,19595,572.0410111738638,3456,1,2024,3
BUR,SFO,1113,347.77133884127954,3581,2,2024,3
BUR,SJC,11533,561.7814607495181,3564,2,2024,3
BUR,SLC,187720,394.7745975716683,2984,1,2024,3
BUR,SMF,3492,371.71947928272175,3528,2,2024,3
BUR,STL,3828,361.6587495608353,1993,2,2024,3
BUR,TPA,57456,340.47559972392463,2746,1,2024,3
BUR,TUS,10417,387.49645019518357,3102,2,2024,3
CLE,CLT,17351,158.00690298481302,915,2,2024,3
CLE,CMH,3608,104.69024698867136,612,2,2024,3
CLE,CVG,10235,167.24345757665475,580,1,2024,3
CLE,DCA,9341,200.05971890757482,913,1,2024,3
CLE,DEN,20409,174.98034749034758,1204,2,2024,3
CLE,DFW,7684,155.5158044469198,1118,2,2024,3
CLE,DTW,5508,166.32920089273873,551,2,2024,3
CLE,EWR,797,250.76385378767324,1035,1,2024,3
CLE,FLL,19580,335.2689827457365,1503,2,2024,3
CLE,IAD,4209,151.50746804510428,905,1,2024,3
CLE,IAH,4218,145.1332469580846,1241,2,2024,3
CLE,IND,2102,83.22355669923198,494,2,2024,3
CLE,JAX,2537,193.4469702307167,1242,1,2024,3
CLE,LAS,3048,305.0774819395128,1830,1,2024,3
CLE,LAX,2085,283.9411953374104,2061,2,2024,3
CLE,MCI,6021,120.79417377554016,719,2,2024,3
CLE,MCO,15321,291.1104137486575,1321,2,2024,3
CLE,MKE,4564,141.70045606623935,397,1,2024,3
CLE,MSP,19946,191.78845291861376,650,2,2024,3
CLE,MSY,1856,203.6432252341587,1149,2,2024,3
CLE,OAK,33409,432.0491519562471,2157,1,2024,3
CLE,OMA,2067,142.95187935509708,732,1,2024,3
CLE,ONT,35691,261.06936296809005,2025,2,2024,3
CLE,PDX,536,277.9279908217973,2055,2,2024,3
CLE,PHX,1016,191.28362912159383,1756,2,2024,3
CLE,PIT,3829,138.14309588682846,726,2,2024,3
CLE,RDU,5732,144.3794814470118,959,1,2024,3
CLE,RNO,17660,394.0520510350711,1839,2,2024,3
CLE,RSW,2926,266.5804334531946,1449,2,2024,3
CLE,SAN,5178,349.5463029719217,2039,2,2024,3
CLE,SAT,8444,188.37075448273112,1358,2,2024,3
CLE,SEA,1584,389.7406819175959,2037,2,2024,3
CLE,SFO,1753,230.92707026862186,2162,1,2024,3
CLE,SJC,33973,386.34539039178856,2145,2,2024,3
CLE,SLC,1713,321.6640936982151,1565,2,2024,3
CLE,SMF,5469,355.92258836145874,2109,2,2024,3
CLE,STL,415,91.91676418387607,574,1,2024,3
CLE,TPA,1609,295.23731858542783,1327,1,2024,3
CLE,TUS,2255,350.14933955696233,1683,1,2024,3
CLT,CMH,10833,121.13337280804474,895,2,2024,3
CLT,CVG,82280,153.27603893792875,863,2,2024,3
CLT,DCA,3838,148.01125096195838,1196,2,2024,3
CLT,DEN,59541,284.7749055763184,1487,2,2024,3
CLT,DFW,3936,236.54443539719077,1401,2,2024,3
CLT,DTW,23984,204.07049549283707,834,2,2024,3
CLT,EWR,11219,190.17968377477337,1318,1,2024,3
CLT,FLL,64385,353.6445168249146,1786,2,2024,3
CLT,IAD,13812,242.2360837272298,1188,2,2024,3
CLT,IAH,8634,278.2657742070017,1524,1,2024,3
CLT,IND,3139,138.66993974726358,777,1,2024,3
CLT,JAX,5027,193.06564462340464,1525,1,2024,3
CLT,LAS,4212,214.04279617468958,2113,2,2024,3
CLT,LAX,27453,395.3964396156127,2344,1,2024,3
CLT,MCI,524,205.51450471654226,1002,2,2024,3
CLT,MCO,12356,321.0135291329994,1604,2,2024,3
CLT,MKE,5864,193.50379816627495,680,2,2024,3
CLT,MSP,42991,195.33955344957934,933,1,2024,3
CLT,MSY,2065,208.70060615318536,1432,1,2024,3
CLT,OAK,5397,258.4302289467959,2440,2,2024,3
CLT,OMA,24225,126.54678512719175,1015,1,2024,3
CLT,ONT,410,483.50556268979335,2308,1,2024,3
CLT,PDX,1744,431.91318563703817,2338,2,2024,3
CLT,PHX,7103,211.49149453165185,2039,2,2024,3
CLT,PIT,42229,213.27453842387268,1009,2,2024,3
CLT,RDU,3655,182.89812132536218,1242,1,2024,3
CLT,RNO,459,253.12508871026407,2122,1,2024,3
CLT,RSW,149,323.57522007639926,1732,2,2024,3
CLT,SAN,5815,402.1268523690818,2322,2,2024,3
CLT,SAT,1731,360.67378463269705,1641,2,2024,3
CLT,SEA,10698,340.15076070283084,2320,2,2024,3
CLT,SFO,3476,349.60713300833885,2445,2,2024,3
CLT,SJC,3767,483.1197633343275,2428,2,2024,3
CLT,SLC,5811,236.56266749268528,1848,2,2024,3
CLT,SMF,617,468.98664362076096,2392,2,2024,3
CLT,STL,35179,225.3709468179888,857,2,2024,3
CLT,TPA,6745,320.23055409394675,1610,1,2024,3
CLT,TUS,8004,374.21758359233775,1966,2,2024,3
CMH,CVG,5417,156.7233364019263,560,2,2024,3
CMH,DCA,11685,124.76092398186393,893,2,2024,3
CMH,DEN,1462,165.26943160368052,1184,2,2024,3
CMH,DFW,60113,136.56849312222107,1098,2,2024,3
CMH,DTW,14236,107.83948957503104,531,2,2024,3
CMH,EWR,1515,121.85712700496936,1015,2,2024,3
CMH,FLL,2046,268.99654731942115,1483,2,2024,3
CMH,IAD,106,196.18493649037273,885,1,2024,3
CMH,IAH,945,175.61734921384308,1221,1,2024,3
CMH,IND,3755,86.99993890025097,474,2,2024,3
CMH,JAX,38471,225.6874536966934,1222,2,2024,3
CMH,LAS,15042,256.8243692502357,1810,2,2024,3
CMH,LAX,2784,214.27780867579983,2041,2,2024,3
CMH,MCI,1450,136.22807057429574,699,2,2024,3
CMH,MCO,59821,276.2975443362913,1301,2,2024,3
CMH,MKE,10549,79.42883290748304,377,2,2024,3
CMH,MSP,32912,91.0937758320805,630,1,2024,3
CMH,MSY,16147,137.54770695334005,1129,2,2024,3
CMH,OAK,11497,389.5678395861289,2137,1,2024,3
CMH,OMA,7279,131.58810726239813,712,1,2024,3
CMH,ONT,29105,308.57495478481445,2005,2,2024,3
CMH,PDX,5426,329.8341302779236,2035,1,2024,3
CMH,PHX,1518,360.983304737678,1736,2,2024,3
CMH,PIT,1952,199.4788538111627,706,2,2024,3
CMH,RDU,8838,199.602864734786,939,2,2024,3
CMH,RNO,1706,306.9903467564381,1819,1,2024,3
CMH,RSW,4270,190.39172962542963,1429,2,2024,3
CMH,SAN,4830,221.47772078114676,2019,2,2024,3
CMH,SAT,2742,293.6507669910309,1338,1,2024,3
CMH,SEA,330,377.9480099609939,2017,2,2024,3
CMH,SFO,641,457.52633763961535,2142,2,2024,3
CMH,SJC,448,425.0556850538775,2125,2,2024,3
CMH,SLC,50436,256.42949504910007,1545,1,2024,3
CMH,SMF,2026,427.1344291767241,2089,2,2024,3
CMH,STL,10732,166.55366599794573,554,2,2024,3
CMH,TPA,379,247.87152651541663,1307,2,2024,3
CMH,TUS,1578,317.6050225488496,1663,1,2024,3
CVG,DCA,7304,129.3632114015884,861,2,2024,3
CVG,DEN,3882,168.99902195652325,1152,1,2024,3
CVG,DFW,23427,187.92696877605943,1066,2,2024,3
CVG,DTW,22600,91.29040249571383,499,2,2024,3
CVG,EWR,296,247.8299949275479,983,2,2024,3
CVG,FLL,578,295.56463754310477,1451,2,2024,3
CVG,IAD,23013,224.86154754253366,853,2,2024,3
CVG,IAH,4527,186.8230176278242,1189,1,2024,3
CVG,IND,588,107.64692035048998,442,2,2024,3
CVG,JAX,38319,160.72454387464248,1190,2,2024,3
CVG,LAS,14442,192.0782295977743,1778,1,2024,3
CVG,LAX,2490,400.3329074287631,2009,1,2024,3
CVG,MCI,90917,151.9235852369229,667,1,2024,3
CVG,MCO,2735,185.24796113412532,1269,2,2024,3
CVG,MKE,3005,102.81911588743546,345,1,2024,3
CVG,MSP,12107,116.0281338735753,598,2,2024,3
CVG,MSY,3574,133.18903529433055,1097,2,2024,3
CVG,OAK,15947,321.9034242518446,2105,2,2024,3
CVG,OMA,6783,143.58576796944857,680,2,2024,3
CVG,ONT,21265,247.03879674462132,1973,2,2024,3
CVG,PDX,847,428.55092936616563,2003,2,2024,3
CVG,PHX,1582,354.87587271519004,1704,2,2024,3
CVG,PIT,71227,164.1367077018883,674,1,2024,3
CVG,RDU,5055,174.36499161207885,907,2,2024,3
CVG,RNO,6974,368.9265872764418,1787,2,2024,3
CVG,RSW,21181,189.89963213427131,1397,2,2024,3
CVG,SAN,23935,292.79299933350836,1987,2,2024,3
CVG,SAT,6352,309.9830443130498,1306,2,2024,3
CVG,SEA,1301,427.0372799140669,1985,2,2024,3
CVG,SFO,6532,349.7754642649261,2110,1,2024,3
CVG,SJC,7596,422.4709971532111,2093,2,2024,3
CVG,SLC,24023,311.7438450527343,1513,1,2024,3
CVG,SMF,639,397.2464028217577,2057,2,2024,3
CVG,STL,3221,127.91300159544808,522,2,2024,3
CVG,TPA,4870,194.8127387758039,1275,2,2024,3
CVG,TUS,44105,248.38519731531946,1631,2,2024,3
DCA,DEN,1132,203.1060565324172,1485,2,2024,3
DCA,DFW,47363,260.4956452708598,1399,2,2024,3
DCA,DTW,18348,150.41368104164462,832,1,2024,3
DCA,EWR,94,149.80919865797927,1316,2,2024,3
DCA,FLL,125366,265.1776472071753,1784,2,2024,3
DCA,IAD,18703,228.15384595682818,1186,1,2024,3
DCA,IAH,156719,314.15440180392955,1522,1,2024,3
DCA,IND,12594,127.95437472832863,775,1,2024,3
DCA,JAX,6151,174.15427021103855,1523,1,2024,3
DCA,LAS,1301,330.22369759711705,2111,2,2024,3
DCA,LAX,2648,307.1714603723799,2342,2,2024,3
DCA,MCI,5283,161.33784708521648,1000,2,2024,3
DCA,MCO,32551,308.35227145906106,1602,2,2024,3
DCA,MKE,924,110.98862284390049,678,2,2024,3
DCA,MSP,2880,136.6777676714694,931,2,2024,3
DCA,MSY,1636,255.693110295812,1430,2,2024,3
DCA,OAK,6517,503.6801843051083,2438,2,2024,3
DCA,OMA,5644,126.05028330925822,1013,2,2024,3
DCA,ONT,31219,477.37799997260714,2306,2,2024,3
DCA,PDX,4341,291.4954482161371,2336,2,2024,3
DCA,PHX,4287,350.0257938858288,2037,2,2024,3
DCA,PIT,624,226.26398321940906,1007,2,2024,3
DCA,RDU,1426,269.98858121641535,1240,2,2024,3
DCA,RNO,1469,365.002222745239,2120,2,2024,3
DCA,RSW,6130,301.20827209120176,1730,2,2024,3
DCA,SAN,10438,286.82188027984853,2320,2,2024,3
DCA,SAT,7504,177.34093312472822,1639,2,2024,3
DCA,SEA,17126,290.60460724913474,2318,2,2024,3
DCA,SFO,111120,403.4123993459897,2443,2,2024,3
DCA,SJC,1208,355.63796211474056,2426,1,2024,3
DCA,SLC,47158,340.4722110460742,1846,1,2024,3
DCA,SMF,9471,309.6298499978741,2390,2,2024,3
DCA,STL,46405,117.27715911073224,855,1,2024,3
