UNIQUE_CARRIER,ORIGIN,DEST,DEPARTURES_PERFORMED,SEATS,PASSENGERS,AIRCRAFT_TYPE,DISTANCE,YEAR,QUARTER
UA,ORD,AUS,2190,328500,294825,738,974,2024,3
UA,SAT,ORD,1110,166500,132165,738,1042,2024,3
UA,ORD,SAT,1440,216000,151830,738,1042,2024,3
UA,TPA,ORD,2520,378000,317854,738,1011,2024,3
UA,ORD,TPA,2010,301500,241571,738,1011,2024,3
UA,BNA,ORD,840,126000,99079,738,410,2024,3
UA,ORD,BNA,1980,297000,224477,738,410,2024,3
UA,MCI,ORD,2310,346500,295330,738,403,2024,3
UA,ORD,MCI,11970,1795500,1497386,738,403,2024,3
UA,CLE,ORD,3480,522000,424931,738,316,2024,3
UA,ORD,CLE,600,90000,73609,738,316,2024,3
UA,IND,ORD,3540,531000,504450,738,178,2024,3
UA,ORD,IND,2880,432000,364661,738,178,2024,3
UA,MKE,ORD,4140,621000,451160,738,81,2024,3
UA,ORD,MKE,10680,1602000,1410007,738,81,2024,3
UA,STL,ORD,5700,855000,638897,738,258,2024,3
UA,ORD,STL,9300,1395000,987453,738,258,2024,3
UA,CVG,ORD,4800,720000,684000,738,264,2024,3
UA,ORD,CVG,1350,202500,156875,738,264,2024,3
UA,PIT,ORD,2850,427500,333331,738,410,2024,3
UA,ORD,PIT,750,112500,92867,738,410,2024,3
UA,CMH,ORD,1230,184500,158280,738,296,2024,3
UA,ORD,CMH,1380,207000,195406,738,296,2024,3
UA,MSY,ORD,1110,166500,132240,738,833,2024,3
UA,ORD,MSY,4080,612000,441576,738,833,2024,3
UA,JAX,ORD,2460,369000,341166,738,926,2024,3
UA,ORD,JAX,570,85500,71372,738,926,2024,3
UA,RSW,ORD,2370,355500,313745,738,1133,2024,3
UA,ORD,RSW,720,108000,77151,738,1133,2024,3
UA,SJC,ORD,2550,382500,322737,738,1829,2024,3
UA,ORD,SJC,2040,306000,259401,738,1829,2024,3
UA,OAK,ORD,960,144000,120755,738,1841,2024,3
UA,ORD,OAK,2100,315000,240298,738,1841,2024,3
UA,BUR,ORD,7590,1138500,976726,738,1735,2024,3
UA,ORD,BUR,630,94500,82453,738,1735,2024,3
UA,ONT,ORD,780,117000,103307,738,1709,2024,3
UA,ORD,ONT,4320,648000,488815,738,1709,2024,3
UA,SMF,ORD,3630,544500,464470,738,1793,2024,3
UA,ORD,SMF,3240,486000,461700,738,1793,2024,3
UA,RNO,ORD,1440,216000,164095,738,1523,2024,3
UA,ORD,RNO,870,130500,98492,738,1523,2024,3
UA,BOI,ORD,1680,252000,213517,738,1426,2024,3
UA,ORD,BOI,2250,337500,299083,738,1426,2024,3
UA,ABQ,ORD,1950,292500,273862,738,1121,2024,3
UA,ORD,ABQ,1560,234000,222300,738,1121,2024,3
UA,TUS,ORD,3000,450000,338142,738,1367,2024,3
UA,ORD,TUS,750,112500,96592,738,1367,2024,3
UA,OMA,ORD,2190,328500,288133,738,416,2024,3
UA,ORD,OMA,3810,571500,465300,738,416,2024,3
